,Player,Tm,3P,3PA,3P%,2P,2PA,2P%,FT,FT%,TRB,AST,STL,BLK,PTS
42,Khem Birch,ORL,0.0,0.1,.000,1.6,3.4,.491,0.8,.500,5.3,1.1,0.6,0.8,4.1
43,Goga Bitadze,IND,0.2,0.7,.267,1.1,2.1,.521,0.6,.737,2.5,0.7,0.0,1.0,3.3
44,Bismack Biyombo,CHO,0.0,0.0,0,3.1,5.5,.571,1.7,.582,5.5,0.9,0.2,0.7,8.0
45,Nemanja Bjelica,SAC,1.8,4.4,.402,2.7,5.0,.533,0.8,.923,6.1,2.7,0.9,0.6,11.4
46,Eric Bledsoe,MIL,1.2,3.6,.344,4.4,8.3,.535,2.5,.813,4.9,5.7,0.8,0.5,15.0
47,Bogdan Bogdanović,SAC,2.7,6.7,.401,2.5,5.4,.470,1.5,.698,2.7,3.9,1.2,0.1,14.6
48,Bojan Bogdanović,UTA,3.3,7.3,.446,3.6,8.1,.449,4.1,.887,4.5,2.2,0.6,0.1,21.1
49,Jonah Bolden,PHI,0.0,0.0,0,0.5,0.5,1.000,0.0,.000,0.0,0.0,0.5,0.0,1.0
50,Jordan Bone,DET,0.0,0.3,.000,0.7,1.3,.500,0.0,0,0.0,0.0,0.0,0.0,1.3
51,Isaac Bonga,WAS,0.2,0.7,.294,1.1,2.0,.542,0.7,.739,2.8,1.2,0.6,0.2,3.5
52,Devin Booker,PHO,2.0,5.3,.382,6.4,11.7,.549,5.1,.908,4.0,6.4,0.6,0.3,24.0
53,Chris Boucher,TOR,0.5,1.6,.341,1.5,2.9,.524,1.6,.763,4.2,0.4,0.3,0.9,6.3
54,Brian Bowen,IND,0.0,0.3,.000,0.3,1.0,.333,0.0,0,0.3,0.0,0.0,0.3,0.7
55,Ky Bowman,GSW,1.0,2.5,.391,2.3,4.8,.467,0.8,.917,2.7,2.8,0.9,0.1,8.2
56,Avery Bradley,LAL,0.6,2.7,.239,2.7,5.1,.535,0.4,.700,2.7,1.4,0.8,0.1,7.8
57,Tony Bradley,UTA,0.0,0.0,0,1.7,2.8,.611,0.6,.688,3.4,0.3,0.1,0.4,4.1
58,Jarrell Brantley,UTA,0.0,0.0,0,0.0,0.0,0,0.0,0,2.0,0.5,0.0,1.0,0.0
59,Ignas Brazdeikis,NYK,0.1,1.1,.125,0.6,1.7,.333,0.4,.750,0.7,0.3,0.0,0.1,2.0
60,Mikal Bridges,PHO,0.5,1.7,.294,1.9,3.3,.580,1.4,.796,3.9,1.3,1.4,0.4,6.8
61,Miles Bridges,CHO,1.5,4.3,.359,3.2,6.5,.493,1.3,.778,5.1,1.7,0.6,0.8,12.3
63,Oshae Brissett,TOR,0.2,0.2,1.000,0.0,0.3,.000,0.0,0,0.2,0.2,0.2,0.2,0.5
64,Ryan Broekhoff,DAL,1.0,1.9,.533,0.1,0.6,.200,0.6,.833,1.4,0.5,0.1,0.0,3.9
65,Malcolm Brogdon,IND,1.4,4.3,.333,5.2,10.3,.502,3.8,.933,4.5,7.6,0.9,0.2,18.3
66,Dillon Brooks,MEM,1.8,4.9,.368,3.4,7.8,.430,2.3,.837,3.5,2.1,1.1,0.4,14.5
67,Bruce Brown,DET,0.6,1.7,.340,2.6,5.6,.467,1.3,.644,4.4,3.7,1.1,0.5,8.2
68,Charlie Brown,ATL,0.3,0.3,1.000,0.0,0.5,.000,1.0,1.000,0.8,0.0,0.0,0.3,1.8
69,Jaylen Brown,BOS,2.1,5.3,.391,5.4,9.3,.584,3.0,.752,7.0,2.4,1.1,0.4,20.2
70,Moses Brown,POR,0.0,0.0,0,0.8,1.8,.429,0.5,.500,2.3,0.0,0.3,0.0,2.0
71,Sterling Brown,MIL,0.9,2.6,.356,1.0,2.4,.429,0.8,.720,4.0,1.2,0.7,0.1,5.6
72,Troy Brown,WAS,0.6,2.0,.302,3.0,5.6,.538,1.4,.783,5.3,2.3,1.3,0.2,9.2
73,Jalen Brunson,DAL,0.8,2.3,.343,2.6,4.7,.555,1.1,.756,2.8,3.8,0.5,0.0,8.7
74,Thomas Bryant,WAS,0.6,1.9,.286,5.1,8.3,.611,2.2,.736,8.5,2.7,0.4,1.0,13.9
75,Trey Burke,PHI,0.8,1.7,.458,1.8,4.0,.446,0.6,.727,1.7,2.6,0.5,0.1,6.5
76,Alec Burks,GSW,1.5,4.3,.349,3.7,7.9,.472,3.6,.889,4.6,3.2,1.2,0.3,15.6
77,Deonte Burton,OKC,0.4,1.4,.263,0.6,1.4,.474,0.2,.750,1.5,0.3,0.1,0.2,2.6
78,Jimmy Butler,MIA,0.9,3.3,.282,5.1,10.5,.484,7.5,.826,6.5,6.6,2.1,0.6,20.4
79,Bruno Caboclo,MEM,0.2,1.2,.174,1.3,2.3,.558,0.1,.667,2.2,0.5,0.5,0.6,3.3
80,Kentavious Caldwell-Pope,LAL,1.3,3.2,.398,2.1,4.1,.524,1.0,.769,2.2,1.8,0.8,0.2,9.0
81,Vlatko Čančar,DEN,0.0,0.0,0,0.0,0.3,.000,0.7,1.000,0.3,0.3,0.0,0.0,0.7
