,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,2K
372,Patrick Patterson,LAC,1.4,0.408,0.4,0.414,0.6,0.708,3.3,0.8,0.2,0.1,5.6,
373,Justin Patton,OKC,0,0,0.5,0.5,0,0,1,0,0,0,1,
374,Chris Paul,OKC,1.6,0.38,3.7,0.524,3.9,0.896,4.4,6.3,1.6,0.2,16.1,
375,Elfrid Payton,NYK,0.6,0.348,2.6,0.404,0.8,0.688,3.5,5.9,1.7,0.2,7.6,
376,Gary Payton,WAS,1,1,3,0.429,1,0.5,11,5,6,0,10,
378,Norvel Pelle,PHI,0,0,0.9,0.667,0.6,0.667,2.7,0.6,0,1.3,2.3,
379,Theo Pinson,BRK,0.6,0.2,1.1,0.368,0.7,0.929,2.1,1.9,0.5,0.1,4.6,
380,Mason Plumlee,DEN,0,0,2.7,0.603,1.2,0.538,5.7,2.5,0.6,0.7,6.7,
381,Vincent Poirier,BOS,0,0,0.8,0.5,0.1,0.5,1.7,0.3,0.2,0.2,1.7,
382,Jakob Pöltl,SAS,0,0,2.4,0.585,0.8,0.579,5.8,1.8,0.6,1.4,5.5,
383,Shamorie Ponds,TOR,0,0,0.7,0.667,0,0,0.3,0.7,0,0.3,1.3,
384,Jordan Poole,GSW,1.1,0.242,1.1,0.267,1.6,0.839,2,1.8,0.6,0.2,7.1,
385,Kevin Porter,CLE,0.9,0.325,2.2,0.516,1,0.75,3.2,1.9,0.9,0.2,8.1,
386,Michael Porter,DEN,0.4,0.32,1.3,0.491,0.4,0.727,2.7,0.4,0.1,0.4,4.2,
387,Otto Porter,CHI,1.8,0.4,2.1,0.432,1.7,0.75,3.4,1.6,1,0.3,11.2,
388,Bobby Portis,NYK,1.1,0.367,2.7,0.464,1,0.732,5.8,1.3,0.6,0.3,9.6,
389,Kristaps Porziņģis,DAL,2.1,0.333,4.2,0.452,3,0.728,9.6,1.4,0.6,2.1,17.6,
390,Dwight Powell,DAL,0.3,0.346,2.9,0.688,1.5,0.615,5.2,1.4,0.8,0.5,8.3,
391,Norman Powell,TOR,1.9,0.389,3.3,0.582,2.1,0.826,3.9,1.7,1.1,0.4,14.4,
392,Julius Randle,NYK,1,0.269,5.5,0.514,3.9,0.691,8.6,3.2,0.7,0.1,17.9,
393,Cam Reddish,ATL,1.1,0.268,1.8,0.37,1.6,0.763,3.8,1.5,1,0.4,8.5,
394,J.J. Redick,NOP,3.3,0.463,1.7,0.415,2.7,0.875,3,2,0.4,0.2,15.9,
395,Naz Reid,MIN,0.5,0.5,0,0,0,0,0.5,0,0,0,1.5,
396,Josh Richardson,PHI,1.7,0.347,3.8,0.492,2,0.774,3.4,3.2,1,0.6,14.6,
397,Austin Rivers,HOU,1.3,0.318,1.8,0.533,0.9,0.686,2.5,1.5,0.5,0.2,8.1,
399,Duncan Robinson,MIA,3.2,0.448,0.8,0.649,0.6,0.95,3.1,0.9,0.6,0.3,11.7,
